"SABER_FULL","SABER_SHORT","","PI · Helena Nito del Bosque","","","","","","","","","","","","","","","","","","","","","",""
"Inserció automàtica de taules de contingut.","Inserció automàtica de taules de contingut.","","","","","","","","","","","","","","","","","","","","","","","",""
"Inserció d'elements avançats d'edició de vídeo (càirons, subtítols...).","Inserció d'elements avançats d'edició de vídeo .","","","","","","","","","","","","","","","","","","","","","","","",""
"Inserció d'equacions en documents de text.","Inserció d'equacions en documents de text.","","","","","","","","","","","","","","","","","","","","","","","",""
"Inserció de fórmules senzilles en fulls de càlcul. (sumar, comptar, comptar si, mitjana...)","Inserció de fórmules senzilles en fulls de càlcul.","","","","","","","","","","","","","","","","","","","","","","","",""
"Instal·lació de programes i serveis de protecció dels dispositius (antivirus, antimalware, tallafocs).","Instal·lació de programes i serveis de protecció dels dispositius .","","","","","","","","","","","","","","","","","","","","","","","",""
"Interpretació i elaboració de diagrames de flux per plantejar la programació d'una aplicació o d'una part de l'aplicació.","Interpretació i elaboració de diagrames de flux per plantejar la programació d'una aplicació o d'una part.","","","","","","","","","","","","","","","","","","","","","","","",""
"Introducció dels conceptes relacionats amb la desinformació: la desinformació pròpiament dita (fake new), la informació errònia (difusió de notícies falses) i la mala informació (informació maliciosa).","Introducció dels conceptes relacionats amb la desinformació: la desinformació pròpiament dita.","","","","","","","","","","","","","","","","","","","","","","","",""
"Organització de la informació en carpetes en local i en el núvol.","Organització de la informació en carpetes en local i en el núvol.","","","","","","","","","","","","","","","","","","","","","","","",""
"Promoció i aplicació d'accions per a la reducció de l'impacte ambiental de la solució tecnològica.","Promoció i aplicació d'accions per a la reducció de l'impacte ambiental de la solució tecnològica.","","","","","","","","","","","","","","","","","","","","","","","",""
"Protecció de les dades sensibles i biomètriques en entorns virtuals i a Internet.","Protecció de les dades sensibles i biomètriques en entorns virtuals i a Internet.","","","","","","","","","","","","","","","","","","","","","","","",""
"Realització de còpies de seguretat.","Realització de còpies de seguretat.","","","","","","","","","","","","","","","","","","","","","","","",""
"Reconeixement dels riscos associats a la recollida de dades personals a través de les cookies a Internet.","Reconeixement dels riscos associats a la recollida de dades personals.","","","","","","","","","","","","","","","","","","","","","","","",""
"Reconeixement i detecció de la desinformació.","Reconeixement i detecció de la desinformació.","","","","","","","","","","","","","","","","","","","","","","","",""
"Sabers","Sabers.","","","","","","","","","","","","","","","","","","","","","","","",""
"Simplificació d'algoritmes mitjançant el disseny de funcions i/o procediments.","Simplificació d'algoritmes.","","","","","","","","","","","","","","","","","","","","","","","",""
"Utilització d'imatges de llicència lliure.","Utilització d'imatges de llicència lliure.","","","","","","","","","","","","","","","","","","","","","","","",""
"Utilització de funcions avançades d'edició d'imatge (canvi de resolució i mida dels arxius, selecció automàtica d'objectes...)","Utilització de funcions avançades d'edició d'imatge.","","","","","","","","","","","","","","","","","","","","","","","",""
"Utilització de funcions avançades d'edició d'imatge (eliminació d'imperfeccions, ajustos de color: saturació, contrast i brillantor, eliminació de fons).","Utilització de funcions avançades d'edició d'imatge .","","","","","","","","","","","","","","","","","","","","","","","",""
"Utilització de funcions avançades d'edició de l'àudio (silenci, canvis velocitat, canvis de volum, equalització).","Utilització de funcions avançades d'edició de l'àudio .","","","","","","","","","","","","","","","","","","","","","","","",""
"Utilització de funcions avançades d'edició de vídeo (velocitat, efectes, croma, dividir pantalla i filtres).","Utilització de funcions avançades d'edició de vídeo .","","","","","","","","","","","","","","","","","","","","","","","",""
"Utilització de funcions d'edició d'àudio (fosa d'obertura i fosa de tancament, efectes, utilització de pistes d'àudio, panorama de la pista...).","Utilització de funcions d'edició d'àudio .","","","","","","","","","","","","","","","","","","","","","","","",""
"Utilització de grups de correu electrònic.","Utilització de grups de correu electrònic.","","","","","","","","","","","","","","","","","","","","","","","",""
"Utilització de l'autenticació de dos factors (sempre que estigui disponible).","Utilització de l'autenticació de dos factors .","","","","","","","","","","","","","","","","","","","","","","","",""
